RID|CompanyID|BoothNo|CompanyNameEn|CompanyNameSc|CompanyNameTc|TechNameSc|TechnologyDescriptionSc|TechNameTc|TechnologyDescriptionTc|TechNameEn|TechnologyDescriptionEn
20029|258787|1.1L127|SHENG YANG MACHINERY CO., LTD.|昇洋机械股份有限公司|昇洋機械股份有限公司|三机一体薄膜回收押出机|特性： -三机一体结合了粉碎、押出和造粒。 -节能、节省空间、高效率、简易操作 -齿轮箱：采用本公司自己设计之高精密度、高转速、高扭力齿轮箱。 -采用强制润滑冷却方式来润滑冷却齿轮及轴承。在高速运转时 平稳不震动，而且无噪音，齿轮及轴承寿命更长。 -螺杆依不同之塑料做不同之设计, 且经过特殊表面处理, 寿命长, 效率高。 -料管之设计采用透气孔装置，亦可加装真空脱气装置。|三機一體薄膜回收押出機|特性： -三機一體結合了粉碎、押出和造粒。 -節能、節省空間、高效率、簡易操作 -齒輪箱：採用本公司自己設計之高精密度、高轉速、高扭力齒輪箱。 -採用強制潤滑冷卻方式來潤滑冷卻齒輪及軸承。在高速運轉時 平穩不震動，而且無噪音，齒輪及軸承壽命更長。 -螺桿依不同之塑料做不同之設計, 且經過特殊表面處理, 壽命長, 效率高。 -料管之設計採用透氣孔裝置，亦可加裝真空脫氣裝置。|Film Recycling Extruder with Agglomerated Tank|Features: -SY-HPF Integrates shredding, extruding and pelletizing into one machine. -Energy savingSpace savingEfficiency improvementEasy operation -Gear boxusing our own design of high precision, high speed, high torque of gear box. Lubrication of gear is by means of lubricant spray. It is stable and without vibration when at high speed running, and no noise. Gear box is cooling with forced lubrication, and keep long life. -Screw design according to different material, and a special treatment, long life and high efficiency. -Barrel design uses uses degassing vent unit., but it can be installed vacuum degassing vent according. -Cooling method:air-cooled
20041|259975|2.1A11|HOSOKAWA ALPINE AKTIENGESELLSCHAFT - FILM EXTRUSION DIVISION|霍索卡瓦阿尔卑那股份公司薄膜挤出部门|霍索卡瓦阿爾卑那股份公司薄膜擠出部門|针对全聚乙烯解决方案的MDO技术|MDO可以使工艺人员根据最终用户的 特定用途，来修改塑料制品的性能， 例如收缩性，耐撕裂能力和密度等。 改善了的消费品包装，定向性的抗撕 裂，包装食品的新鲜度，延长包装肉 和乳络的仓储时间，改进了视觉观感 等都是MDO强化薄膜的优点。|針對全聚乙烯解決方案的MDO技術|MDO可以使工藝人員根據最終使用者的 特定用途，來修改塑料製品的性能， 例如收縮性，耐撕裂能力和密度等。 改善了的消費品包裝，定向性的抗撕 裂，包裝食品的新鮮度，延長包裝肉 和乳絡的倉儲時間，改進了視覺觀感 等都是MDO強化薄膜的優點。|MDO Technology for Full PE Solutions|MDO enables processors to modify properties such as shrinkage, tear, and density for their specific end-use application. Improved consumer packaging, directed tearing, freshness of packaged goods, longer shelf life of packaged meats and cheese, and improved organoleptics, are all benefits of MDO enhanced films.
20030|262426|1.2B123|SHANTOU YICHY PACKING MACHINERY CO., LTD.|汕头市艺诚包装机械有限公司|汕頭市藝誠包裝機械有限公司|全伺服自动制杯机|1.全伺服自动制杯机，是我司研制的新一代设备，主要适用于生产加工物料为 PP、PS、PE、PET、PVC 等各种杯、盒、碗等薄壁容器。 2.本设备为全伺服驱动。 3.驱动系统使用的偏心轮加五支点结构为制杯成型行业首次使用 4.堆叠系统配套全伺服机械手，更加节能环保，省人优效，为生产厂家节约生产成本。|全伺服自動制杯機|1.全伺服自動制杯機，是我司研製的新一代設備，主要適用於生產加工物料為 PP、PS、PE、PET、PVC 等各種杯、盒、碗等薄壁容器。 2.本設備為全伺服驅動。 3.驅動系統使用的偏心輪加五支點結構為制杯成型行業首次使用 4.堆疊系統配套全伺服機械手，更加節能環保，省人優效，為生產廠家節約生產成本。|Full Servo Automatic forming Machine|1. Full-servo automatic forming machine is a new generation of equipment developed by our company which is mainly suitable for producing of thin-walled disposible products such as PP, PE, PS, HIPS, PET, PVC  cups, containers , bowls and so on. 2.This equipment is driven by full servo motor. 3.The eccentric wheel plus five fulcrum structure used in the driven system which is the first time used in the cup forming industry. 4.The stacking system is equipped with a full servo manipulator which saves energy and labor, improves production efficiency to saves the production costs for manufacturers.
20031|261087|1.2B125|WENZHOU QIANGTUO MACHINERY CO.,LTD|温州强拓机械有限公司|溫州強拓機械有限公司|6色卫星式柔版印刷机|卫星式柔版印刷机， 有时又称为共用压印滚筒式柔版印刷机。各印刷单元围绕着一个共用压印滚筒安装在两个墙板之间。承印材料围绕在共用压印滚筒上进行套色印刷。因为齿轮直接传动，所以不论是纸张或薄膜，即使没有加装特别的控制装置，仍然可以套印的很准确，而且印刷工艺稳定，常用来印刷彩色产品|6色衛星式柔版印刷機|衛星式柔版印刷機， 有時又稱為共用壓印滾筒式柔版印刷機。各印刷單元圍繞著一個共用壓印滾筒安裝在兩個牆板之間。承印材料圍繞在共用壓印滾筒上進行套色印刷。因為齒輪直接傳動，所以不論是紙張或薄膜，即使沒有加裝特別的控制裝置，仍然可以套印的很準確，而且印刷工藝穩定，常用來印刷彩色產品|6 Color Central Drum Flexo Printing Machine|FEATURES:  MACHINE TYPE:CENTRAL IMPRESSION TYPE,FILM SUPPORTED BY THE BIG DURM,NEVER LEAVING BETWEEN COLORS,SO REGISTER BETTER.  MACHINE STRUCTURE:PARTS ARE COMMONIZED FOR AVAILABLITY,LOW-WEAR DESIGN.  DRYER:HOT WIND DRYER,AUTOMAITC TEMPERATURE CONTROLLER FOR PRINTING MATERIAL DRY SAFETY,PROVIDED BY THE SEPARATED HEATER BOX.  DOCTOR BLADE:CHAMBER DOCTOR BLADE FOR HIGH SPEED PRINTING AND QUALITY PRITING.  TRANSMISSION:HIGH PERFORMANCE VECTOR MOTOR,BUTTONS ARE PLACED IN MULTIPLE PLACES FOR MACHINE START,UP SPEED,DOWN SPEED,STOP,WHICH MAKES OPERATORS MORE CONVENIENCE.AFTER MACHINE START,IT REACH THE PRESET SPEED AUTOMATICALLY.  REWINDER DRIVING:HIGH PERFORMANCE AC MOTOR ,LOW FRICTION CYLINDER FOR STABLE WEB TENSION.  COLOR REGISTRATION:ELECTRIC MOTOR TYPE.PUSH BUTTONS BY UP,DOWN,LEFT AND RIGHT ONLY
20079|257696|3F39|DALIAN TOTANI CORPORATION|大连户谷技研工业有限公司|大连户谷技研工业有限公司|高速三边封自立兼用拉链 + 汤姆森模切装置|使用户谷独有的「水冷式开闭条热封板」，不但可以实现三边封带开闭条的自立袋.而且热封面十分美观。多台机器销往欧美地区，符合 CE 认证标准。|高速三边封自立兼用拉链 + 汤姆森模切装置|使用戶穀獨有的「水冷式開閉條熱封板」，不但可以實現三邊封帶開閉條的自立袋.而且熱封面十分美觀。多台機器銷往歐美地區，符合 CE 認證標準。|High-speed Zipper Seal Unit + THOMSON Mold Cutting Unit |Totani’s original water-cooled sealing plate is used in the zipper seal unit to give a beautiful finish to the pouches. Many machines are sold to Europe and America, conforming to CEcertification standards.
20140|259632|5.2G125|SILCOTECH PRECISION SILICONE PRODUCTS (HUIZHOU) CO., LTD.|思科特精密硅胶制品（惠州）有限公司|思科特精密硅胶制品（惠州）有限公司|液态硅胶注塑部件|硅胶制品广泛应用于医疗设备及产品中，液态硅胶（LSR）注塑技术能制造出高精度及高质量且有洁净要求的制品。此生产技术亦能制造各式各样精细的硅胶零件，包括超轻量件及特殊形状、设计的产品。|液态硅胶注塑部件|硅膠製品廣泛應用於醫療設備及產品中，液態硅膠（LSR）注塑技術能製造出高精度及高品質且有潔淨要求的製品。此生產技術亦能製造各式各樣精細的硅膠零件，包括超輕量件及特殊形狀、設計的產品。|Liquid Silicone Injection Molding Parts|Silicone parts are widely used in medical device and applications; Liquid Silicone Rubber (LSR) injection molding can produce clean, high quality with high precision medical parts. Moreover, this technology enables us to produce delicate silicone parts with low shot weight and with complex geometrical features. 
20033|261598|1.2C141|NINGBO BEILUN RHONG MACHINERY MANUFACTURING CO., LTD.|宁波北仑日宏机械制造有限公司|寧波北侖日巨集機械製造有限公司|管材粉碎机|管材粉碎机,主要用于PVC、PE塑料管材、型材等异型材直接破碎造料,更适用于较长塑料管材、型材破碎,配置抽料风机、旋风分离器等组成塑料粉碎回收系统可更加充分发挥破碎机回收效率.    机器特点  1.分体式机体,使更换刀具简单快捷  2. 特有的片刀结构,剪刀原理,减轻马达负荷,配合强悍的高转速马达,可轻松破碎各类塑料.  3.刀具间隙可调节,用钝后可重复卸下刃磨,经久耐用  4. 外置轴承座,防止粉尘进入轴承,延长机器的使用寿命  5.进料斗与上箱的开启采用电动式开启,平稳且省力|管材粉碎機|管材粉碎機,主要用於PVC、PE塑料管材、型材等異型材直接破碎造料,更適用於較長塑料管材、型材破碎,配置抽料風機、旋風分離器等組成塑料粉碎回收系統可更加充分發揮破碎機回收效率.    機器特點  1.分體式機體,使更換刀具簡單快捷  2. 特有的片刀結構,剪刀原理,減輕馬達負荷,配合強悍的高轉速馬達,可輕鬆破碎各類塑料.  3.刀具間隙可調節,用鈍後可重複卸下刃磨,經久耐用  4. 外置軸承座,防止粉塵進入軸承,延長機器的使用壽命  5.進料斗與上箱的開啟採用電動式開啟,平穩且省力|Plastic Pipe Granulators Are Mainly Used to Directly Granulate The PVC and Pe Tubings,PVC Sectional and Profiled Bar.|The characters of Pipe Crushers of Recycling Series(Crushers for Plastic Pipes Lines)  >Outside bearing seat design,in order to avoid the dust entering into the bearing ,long time using life. >Separation design for machine body,convenient for replacing the screen blades. >Separation design for machine body,convenient for replacing the screen blades. >Overloading protector for motor and interlock device,double protection for the safety of personnel and motor. >Special knife blade structure adopting shear principle,nade of high contented chromium steel,shred the various in an easy way. >Knives gap adjustment is available,and the knives can be resharpened numerous time,long time using life. >Optimized auto-feeding device,make the feeding to be more smooth. >Modern design,nice appearance. >Equipped with shock-proof feet,reduce the noise of vibration.
20034|259370|1.2C23|SIIICO TECHNOLOGY CO, LTD.|广东星联科技有限公司|廣東星聯科技有限公司|拉伸流变挤出生产线|拉伸流变挤出技术颠覆了传统的剪切流变技术原理，同时兼备了传统“双螺杆”混合混炼及“单螺杆”直接成型的功能，比螺杆挤出方案具有分散混合能力强、分子量降解少、能耗低等优势，可应用加工领域广泛，尤其在不同极性材料的相容挤出、纳米分散、热敏性材料、超高粘度材料挤出、聚合物非相容合金改性、橡胶连续密炼、多项无机材料共混挤出等方面具有突破性优势，为高分子材料加工工艺优化提供了全新的解决方案。|拉伸流變擠出生產線|拉伸流變擠出技術顛覆了傳統的剪切流變技術原理，同時兼備了傳統“雙螺杆”混合混煉及“單螺杆”直接成型的功能，比螺杆擠出方案具有分散混合能力強、分子量降解少、能耗低等優勢，可應用加工領域廣泛，尤其在不同極性材料的相容擠出、納米分散、熱敏性材料、超高粘度材料擠出、聚合物非相容合金改性、橡膠連續密煉、多項無機材料共混擠出等方面具有突破性優勢，為高分子材料加工工藝優化提供了全新的解決方案。|Elongational Rheology Extruding Production Line (ERE Production Line)|The revolutionary extruder, Elongational Rheology Extruder (ERE), has overturned polymer plasticizing and transporting process based on shearing rheology. Compared with conventional screw extruder, ERE has characteristics as follows: -  Weak Shearing Force -  Strong Elongational Force -  High Efficiency of Tansportation -  Less Molecular Weight Reduction -  Homogeneous Mixing and Dispersion -  Narrow Distribution of Residence Time -  Obvious Compatibilization Effect by Physical Means The ERE technology effectively solves the problem of molecular weight degradation of polymer materials during processing and difficult of processing extreme rheological behavior materials regarded as the worldwide problem. Whats more, it will greatly expands the application field of polymer materials, and promote the birth of a large number of new polymer materials & products with special functions. The application scope covers various industries from packing to automotive related to polymer materials.
20035|259405|1.2C73|COMPASON INTELLIGENT MACHINERY (NANTONG) CO.,LTD.|康柏盛智能机械（南通）有限公司|康柏盛智能机械（南通）有限公司|医药瓶中空吹瓶机|能耗低： 液压系统采用伺服变速泵驱动，高效节能40%；挤出量大：独特的螺杆设计，挤出量增加25-35%；节省原料：系统内置100点型坯壁厚控制器，控制精准、制品壁厚均匀，可有效节省原料；性能平稳：采用BOSCH REXROTH品牌的液压阀，稳定可靠，响应快，精度高。|医药瓶中空吹瓶机|能耗低： 液壓系統採用伺服變速泵驅動，高效節能40%；擠出量大：獨特的螺杆設計，擠出量增加25-35%；節省原料：系統內置100點型坯壁厚控制器，控制精准、製品壁厚均勻，可有效節省原料；性能平穩：採用BOSCH REXROTH品牌的液壓閥，穩定可靠，回應快，精度高。|Blow Molding Machine for Medical industry|The hydraulic system of the blow molding machine is driven by a servo speed variable pump, which has higher energy efficiency and saves 40% of energy compared with ordinary oil circuits.The hydraulic valve adopts the German Bosch Rexroth brand, which is stable and reliable, with fast response and high accuracy.Embedded 100-point parison control system, materials can be well-distributed to save cost.The system runs smoothly and the oil temperature is automatically controlled by PLC.
20036|261931|1.2F151|MICROBAN INTERNATIONAL (ASIA) LIMITED|妙抗保国际（亚洲）有限公司|妙抗保國際（亞洲）有限公司|抗菌技术 – 打造更洁净、清新、可持续性的塑料产品|妙抗保抗菌保护可有效抑制塑料产品表面上细菌和霉菌的滋生。我们创新的配方已被证明可减少肠炎沙门氏菌、大肠杆菌等有害微生物的数量高达99.9。妙抗保技术透过延长塑料制品的使用寿命，为可持续产品开发做出了重大贡献。通过抑制塑料表面上有害微生物的滋生，妙抗保有助于防止产品过早变质、产生污渍和异味。我们客制化的添加剂适用于多种聚合物材料。常见的行业应用包括食品服务、建筑材料、消费品和医疗保健。内建过程是安全、简单且无缝的，不会破坏现有的制造流程。所有妙抗保技术均已在美国EPA及欧盟BPR注册。|抗菌技術 – 打造更潔淨、清新、可持續性的塑料產品|妙抗保抗菌保護可有效抑制塑料產品表面上細菌和黴菌的滋生。我們創新的配方已被證明可減少腸炎沙門氏菌、大腸桿菌等有害微生物的數量高達99.9。妙抗保技術透過延長塑料製品的使用壽命，為可持續產品開發做出了重大貢獻。通過抑制塑料表面上有害微生物的滋生，妙抗保有助於防止產品過早變質、產生污漬和異味。我們客制化的添加劑適用於多種聚合物材料。常見的行業應用包括食品服務、建築材料、消費品和醫療保健。內建過程是安全、簡單且無縫的，不會破壞現有的製造流程。所有妙抗保技術均已在美國EPA及歐盟BPR註冊。|Microban Antimicrobial Technologies for Cleaner, Fresher & More Sustainable Plastic Products|Microban antimicrobial protection works to eliminate bacteria, mould and mildew growth on plastic products and surfaces. Our innovative formulations have been proven to reduce the presence of Salmonella enterica, E. coli, MRSA and VRE by up to 99.9%. Microban technologies heavily contribute to sustainable product development by extending the lifespan of plastic articles. Through the inhibition of damaging microbes on a plastic surface, Microban helps to prevent premature product deterioration, visual discoloration and odours. Our customised additives are suitable for use in a range of polymers such as ABS, PP, PS, PE, LDPE, PVC and PC. Typical industry applications include food service, construction, consumer, and healthcare. Additive integration is safe, simple and seamless, and will not disrupt existing manufacturing processes. All Microban technologies have EPA registrations and are notified with the EU BPR. Specific formulations are also registered with the FDA and listed on EFSA.
20232|261419|8.2C151|SYNCHEMER CO., LIMITED|广州美和化工有限公司|广州美和化工有限公司|透明成核剂3|透明成核剂3非常适用于共聚和均聚聚丙烯，能有效的降低制品的雾度。产品符合ROHS、欧盟REACH以及美国的FDA法规，可应用于食品、医药等包装产品。|透明成核剂3|透明成核劑3非常適用於共聚和均聚聚丙烯，能有效的降低製品的霧度。產品符合ROHS、歐盟REACH以及美國的FDA法規，可應用於食品、醫藥等包裝產品。|SYNCLEAR-3|Synclear-3 is an efficient nucleating agent for polyolefins used in homopolymer and copolymer polypropylene and LLDPE films, as well as super high molecular weight polyethylene. The results show that the haze is decreased from 37% to about 10% by adding 0.3% Synclear-3 in homopolymer polypropylene injection molded piece of 2mm thickness, and that of polypropylene random copolymer injection molded piece with the same thickness is decreased to about 6%.
